mod,ds,trait,lvl,n,k,AIC,sem,sem_se,sem_p,sem_raw,vis,vis_se,vis_p,lrt_chi,lrt_df,lrt_p,sem_p_holm,vis_p_holm,sd_outcome,sem_std,vis_std,sem_se_std,vis_se_std
fam,cn,attractive,L0,381419,63,1292651.32066051,-0.0066042420321905,0.0105542372258744,0.531483401841482,-0.0042857211719182,-0.0027853749906843,0.0111601685932671,0.802910773020669,,,,0.7487622467834489,1.0,1.499607201923159,-0.004403981271709647,-0.0018574030500201778,0.007038001159463095,0.007442061213733058
fam,cn,charismatic,L0,378918,63,1261124.75243143,-0.0258863857551317,0.0102565656902506,0.01160661011084,-0.0168093487375087,0.0057055598038821,0.0074684335854132,0.444893052367915,,,,0.08124627077588001,1.0,1.418162501019685,-0.018253469356663228,0.004023205944156397,0.0072322922675475765,0.005266274901531565
fam,cn,competent,L0,374705,63,1148925.49856348,0.044146447854142,0.0094468481719035,2.96628840210546e-06,0.0287195406688729,-0.0061455420232143,0.0068249093808171,0.36787674049731,,,,2.669659561894914e-05,1.0,1.2464661443357146,0.035417285944552616,-0.0049303721975453045,0.007578904741883749,0.005475406942925299
fam,cn,critical,L2,379789,33,1316957.18028518,0.009594987068302,0.005867291149776,0.101978822578607,0.0062427020941071,-0.0046088892227108,0.0043087595718573,0.284774314915774,,,,0.407915290314428,1.0,1.4592088721664667,0.006575471991241706,-0.0031584849233187895,0.004020871351381599,0.002952805217980991
fam,cn,feminine,L0,373388,63,1408118.98975855,0.0353417163629992,0.0377760733903525,0.349500689119725,0.0230097848755079,0.0412312235593716,0.0279925342322587,0.140768176634288,,,,0.7487622467834489,1.0,2.2272292383539978,0.015868019220651935,0.018512339389834407,0.01696101718665941,0.012568321998568135
fam,cn,practical,L1,378854,41,1208325.44675214,0.0483597732342783,0.0060710250213846,1.6433283914611803e-15,0.0314441235812411,-0.0047528199141702,0.0050461472532681,0.346258673417048,,,,1.6433283914611803e-14,1.0,1.3044805706948122,0.03707205329131134,-0.0036434578030078908,0.004653978876934103,0.0038683192119759553
fam,cn,strong,L0,383109,63,1222024.2191071,0.0230790720499756,0.0118736983272346,0.0519299658798889,0.0149976563569418,-0.002949671392079,0.0114110865559885,0.796027438253816,,,,0.2864700974325246,1.0,1.3604427420608904,0.016964383238219836,-0.0021681701852520737,0.008727819231294896,0.008387774217312679
fam,cn,traitspace,L0,389137,63,1534030.61937826,0.0535780198271361,0.0197972332137941,0.0068029607218349,0.0347969408725055,0.0282932539074715,0.0158072583501397,0.0734715941264978,,,,,,2.346176775888701,0.022836309854291113,0.012059301838734802,0.008438082508209625,0.006737454105158857
fam,cn,trustworthy,L0,381025,63,1226132.12007063,0.0204244420507294,0.0077475457486231,0.0083828756422682,0.0132574515977204,-0.0028799170827541,0.0059098543403903,0.626040344965332,,,,0.0670630051381456,1.0,1.3079820807475957,0.015615230782867851,-0.0022018016340927564,0.005923281261005411,0.004518299162793147
fam,cn,warm,L1,381067,41,1267376.72822621,-0.0074744466298193,0.0064918861026653,0.249587415594483,-0.00484928573446,0.0060756573734263,0.00428157891361,0.155892418382005,,,,0.7487622467834489,1.0,1.3620747960906423,-0.005487544921374418,0.00446059011653717,0.004766174457744891,0.003143424227435064
fam,cn,young,L0,384275,63,1215300.58724569,0.0317220424979706,0.0160242205823942,0.0477450162387541,0.0206214868760844,-0.0004395860115057,0.0112510429048887,0.968834028969741,,,,0.2864700974325246,1.0,1.4995864054747656,0.021153861079400406,-0.00029313816789805323,0.010685760102847138,0.007502764004670105
fam,us,charismatic,L0,461680,63,1660944.74895949,-0.000245423217525,0.006347960896144,0.969160077164312,-0.0001250569512745,-0.0082395753474177,0.0042919104805148,0.0548841794854538,,,,1.0,0.3293050769127228,1.5483072369387094,-0.0001585106700206654,-0.0053216668829300755,0.004099936204325374,0.0027720018211635456
fam,us,competent,L1,454525,41,1503261.71028678,-0.0001533368915841,0.0041016072773437,0.970178362361539,-7.77778390616282e-05,-0.0070744492081913,0.0028761205741172,0.0139045729819161,,,,1.0,0.0973320108734127,1.3710657883005457,-0.0001118377344781997,-0.005159817470874373,0.0029915466583319075,0.0020977261621283614
fam,us,critical,L1,447155,41,1656797.85877812,-0.0010048021886161,0.0043740525459582,0.818310269866303,-0.0005123225606717,-0.0053336665732737,0.0030484061943134,0.0801774420333916,,,,1.0,0.400887210166958,1.621755266956752,-0.0006195769541119643,-0.003288823339715372,0.0026971101220261027,0.0018796955720907136
fam,us,feminine,L0,433689,63,1734815.25684042,0.0222858436256052,0.0305807327262628,0.466151907747025,0.0113322124099804,0.0088544513730297,0.0343354783229768,0.79649911100975,,,,1.0,1.0,2.3463318273026084,0.009498163629832983,0.00377374217491179,0.013033421944166798,0.014633683916076601
fam,us,practical,L0,448175,63,1585868.82728346,0.0039058717350389,0.0043749377934313,0.371973190260569,0.0019936338411598,-0.0105733532184856,0.0035968450003575,0.0032861625618876,,,,1.0,0.0262893004951008,1.5126665052926622,0.0025821102809989263,-0.006989877267388774,0.0028922024637445523,0.002377817574311664
fam,us,strong,L0,465295,63,1636499.45044143,0.0308318238057546,0.0099763510740543,0.0019982582015912,0.0157508152039759,-0.0067894973130062,0.0090016956590845,0.450701229443658,,,,0.0159860656127296,1.0,1.5242832582424954,0.020227096006620066,-0.004454222846240873,0.006544945645835586,0.005905526817544063
fam,us,traitspace,L0,489741,63,1986314.65573476,0.0104205557105021,0.0180324925540931,0.563347426253228,0.005308104915002,-0.0031204992453678,0.0169538818823877,0.853967878122589,,,,,,2.304385977163473,0.0045220530821529405,-0.0013541564982134204,0.007825291740531136,0.0073572231607036
fam,us,warm,L0,464055,63,1636612.86458424,-0.0038699078330943,0.0082456068619682,0.638834020598377,-0.0019713722680342,-0.0085694523060357,0.0053495427480319,0.109176906825984,,,,1.0,0.436707627303936,1.5001680354083404,-0.0025796495737498665,-0.0057123282884127885,0.005496455508548264,0.0035659623600604005
fam,us,youthful,L0,460530,63,1622090.55354951,-0.0125074775918443,0.013262510883754,0.345645043374221,-0.0063600700014124,0.0073029976265883,0.0101715241531666,0.472766786812503,,,,1.0,1.0,1.577232302585372,-0.007930016124664869,0.0046302612586727725,0.008408723852544943,0.006448970222391218
arm,cn,attractive,L0,260896,63,875085.608565791,-0.0313655174104015,0.0318506145865812,0.324737249747481,-0.0313655174104015,-0.026106762458053,0.025502181882997,0.305973681618481,,,,0.65068719743745,1.0,1.4486713172492585,-0.021651231053541144,-0.018021177162273496,0.02198608767036214,0.017603842624164482
arm,cn,charismatic,L0,259115,63,843303.258742396,-0.0365267200892981,0.0255035638122493,0.152080803207094,-0.0365267200892981,-0.0183277939489518,0.0215318298191193,0.394660831774354,,,,0.65068719743745,1.0,1.3229753712432186,-0.027609523868137795,-0.013853465716243012,0.01927742901841267,0.016275306621079073
arm,cn,competent,L0,256519,63,759258.191775277,0.0797168981334871,0.0260091008456766,0.0021769786805736,0.0797168981334871,-0.0221432320570844,0.0178578041617042,0.214984613366632,,,,0.0174158294445888,1.0,1.1619789908558753,0.06860442293777641,-0.019056482286977,0.022383451895734496,0.015368439793004117
arm,cn,critical,L2,260428,33,900364.310613448,-0.002894045680876,0.0168890141968886,0.86394330224218,-0.002894045680876,-0.0105513251396369,0.0130167836849737,0.417598934890225,,,,0.86394330224218,1.0,1.4489793782142022,-0.0019972994263332947,-0.007281901522049888,0.01165580024865744,0.008983415416868295
arm,cn,feminine,L0,255694,63,960603.182049821,0.140602920483907,0.0981474011737654,0.15198105746166,0.140602920483907,0.0303299475417626,0.0671777001313556,0.651637635192486,,,,0.65068719743745,1.0,2.2529280277184514,0.06240897123832939,0.013462457374849144,0.04356437487848187,0.029817952151532646
arm,cn,practical,L4,259412,12,814792.480194902,-0.0436136624368,0.0101276701768748,1.65942989310022e-05,-0.0436136624368,0.0538621020078031,0.0091938114615433,4.67018427578444e-09,,,,0.0001493486903790198,4.67018427578444e-08,1.2517390636276162,-0.034842455352000395,0.04302981633544889,0.00809087969782152,0.007344830666943534
arm,cn,strong,L1,262306,41,825706.035161272,0.106807992438509,0.0175004762443127,1.039996121224e-09,0.106807992438509,-0.0536157906078588,0.0173375790697177,0.0019850418007677,,,,1.0399961212240001e-08,0.017865376206909298,1.3402719272330181,0.07969128522971704,-0.040003666060922594,0.013057407149041992,0.012935866757659401
arm,cn,traitspace,L0,266666,63,1039763.34427474,0.0969404650305078,0.049000119546747,0.0478867548625483,0.0969404650305078,0.0044077211649293,0.043813326842637,0.919866176019649,,,,,,2.2717718304203576,0.042671743584640896,0.001940212967652529,0.021569120142527806,0.01928597152933708
arm,cn,trustworthy,L1,260871,41,823936.914496599,0.0441765213585452,0.0166198623790927,0.0078592882497559,0.0441765213585452,-0.0180835714107814,0.0137564699444002,0.188661089558778,,,,0.0550150177482913,1.0,1.2499229917577728,0.03534339447298233,-0.014467748437326037,0.01329670906822836,0.011005853988696064
arm,cn,warm,L1,260742,41,851572.126375427,-0.023516011440428,0.0155368861546336,0.13013743948749,-0.023516011440428,-0.0133994430909396,0.0125317782861752,0.284962815904692,,,,0.65068719743745,1.0,1.3056809691137465,-0.018010533964043222,-0.010262417395908514,0.01189945057189547,0.009597886913126536
arm,cn,young,L0,263455,63,828691.155754676,0.0951413654687234,0.0369441899789163,0.0100161069839864,0.0951413654687234,-0.054573585595517,0.0289082975883324,0.0590504758488582,,,,0.0600966419039184,0.4724038067908656,1.465293001198675,0.06492992554451125,-0.03724414540359735,0.025212834531178615,0.019728680587898888
arm,us,charismatic,L2,292349,33,1043271.54021016,0.0227285754513237,0.0136336315559822,0.0954952762922496,0.0227285754513237,-0.0212176705490995,0.0099852045682965,0.0335940439073866,,,,0.47747638146124805,0.1343761756295464,1.5243996967711124,0.014909853038849287,-0.013918705569176794,0.008943606840686272,0.006550253578143929
arm,us,competent,L4,287128,12,942165.450673591,-0.0012293710634737,0.0077323421538351,0.873676142695372,-0.0012293710634737,-0.0258948169935214,0.007016108505489,0.0002235794623042,,,,1.0,0.001117897311521,1.360582818193106,-0.0009035620963568693,-0.019032150522017087,0.00568311024543429,0.005156693449066628
arm,us,critical,L0,283961,63,1051688.40263202,0.0059915945185626,0.0192199966838419,0.755239994485104,0.0059915945185626,-0.0051839881104815,0.0129703001136624,0.68939117059497,,,,1.0,1.0,1.6209964481680719,0.0036962416082612945,-0.0031980255825606856,0.011856902404420992,0.00800143647959282
arm,us,feminine,L1,274575,41,1103082.5919349,0.184896651713527,0.0201290270386294,4.09341265732036e-20,0.184896651713527,-0.0606721726809517,0.0134010517008944,5.97085481865861e-06,,,,3.274730125856288e-19,3.582512891195166e-05,2.350090133850509,0.07867640864079659,-0.025816955616737677,0.008565214903331798,0.005702356478956586
arm,us,practical,L4,284803,12,1004579.92524223,0.0249394182888467,0.0088793975643673,0.0049744509315444,0.0249394182888467,-0.0396781743827399,0.0081907710072321,1.27088332983365e-06,,,,0.0298467055892664,8.89618330883555e-06,1.5064641081993255,0.016554936923559867,-0.026338612494503547,0.005894197887648868,0.005437083407863276
arm,us,strong,L0,295181,63,1028000.05718737,0.0794423872466662,0.0264884523576802,0.0027074923456713,0.0794423872466662,-0.0127792419342887,0.0244476781073541,0.60117049516191,,,,0.0189524464196991,1.0,1.494457667315466,0.05315800439457792,-0.008551089946391317,0.017724458134208722,0.01635889636892165
